route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
GNE:GOAO065:65,GNE,65,,,3,,FFFFFF,000000
GNE:GOAO067:67,GNE,67,,,3,,FFFFFF,000000
GNE:GOAO069:69,GNE,69,,,3,,FFFFFF,000000
GNE:GOAO074:74,GNE,74,,,3,,FFFFFF,000000
GNE:GOAO078:78,GNE,78,,,3,,FFFFFF,000000
GNE:GOAO081:81,GNE,81,,,3,,FFFFFF,000000
GNE:GOAO084:84,GNE,84,,,3,,FFFFFF,000000
GNE:GOAO085:85,GNE,85,,,3,,FFFFFF,000000
GNE:GOAO085A:85A,GNE,85A,,,3,,FFFFFF,000000
GNE:GOAO091:91,GNE,91,,,3,,FFFFFF,000000
GNE:GOAO093:93,GNE,93,,,3,,FFFFFF,000000
GNE:GOAO094:94,GNE,94,,,3,,FFFFFF,000000
GNE:GOAO096:96,GNE,96,,,3,,FFFFFF,000000
GNE:GONO103:103,GNE,103,,,3,,FFFFFF,000000
GNE:GONO104:104,GNE,104,,,3,,FFFFFF,000000
GNE:GONO105:105,GNE,105,,,3,,FFFFFF,000000
GNE:GONO115:115,GNE,115,,,3,,FFFFFF,000000
GNE:GONO116:116,GNE,116,,,3,,FFFFFF,000000
GNE:GONO118:118,GNE,118,,,3,,FFFFFF,000000
GNE:GONO134:134,GNE,134,,,3,,FFFFFF,000000
GNE:GONO135:135,GNE,135,,,3,,FFFFFF,000000
GNE:GONO137:137,GNE,137,,,3,,FFFFFF,000000
GNE:GONO139:139,GNE,139,,,3,,FFFFFF,000000
GNE:GONO140:140,GNE,140,,,3,,FFFFFF,000000
GNE:GONO141:141,GNE,141,,,3,,FFFFFF,000000
GNE:GONO142:142,GNE,142,,,3,,FFFFFF,000000
GNE:GONO143:143,GNE,143,,,3,,FFFFFF,000000
GNE:GONO145:145,GNE,145,,,3,,FFFFFF,000000
GNE:GONO154:154,GNE,154,,,3,,FFFFFF,000000
GNE:GONO155:155,GNE,155,,,3,,FFFFFF,000000
GNE:GOAO201:201,GNE,201,,,3,,FFFFFF,000000
GNE:GOAO202:202,GNE,202,,,3,,FFFFFF,000000
GNE:GOAO206:206,GNE,206,,,3,,FFFFFF,000000
GNE:GOAO208:208,GNE,208,,,3,,FFFFFF,000000
GNE:GOAO209:209,GNE,209,,,3,,FFFFFF,000000
GNE:GOAO210:210,GNE,210,,,3,,FFFFFF,000000
GNE:GOAO307:307,GNE,307,,,3,,FFFFFF,000000
GNE:GOAO309:309,GNE,309,,,3,,FFFFFF,000000
GNE:GOAO317:317,GNE,317,,,3,,FFFFFF,000000
GNE:GOAO327:327,GNE,327,,,3,,FFFFFF,000000
GNE:GOAO340:340,GNE,340,,,3,,FFFFFF,000000
GNE:GOAO341:341,GNE,341,,,3,,FFFFFF,000000
GNE:GOAO342:342,GNE,342,,,3,,FFFFFF,000000
GNE:GOAO352:352,GNE,352,,,3,,FFFFFF,000000
GNE:GOAO353:353,GNE,353,,,3,,FFFFFF,000000
GNE:GOAO354:354,GNE,354,,,3,,FFFFFF,000000
GNE:GOAO355:355,GNE,355,,,3,,FFFFFF,000000
GNE:GOAO356:356,GNE,356,,,3,,FFFFFF,000000
GNE:GONO442:442,GNE,442,,,3,,FFFFFF,000000
GNE:GONO444:444,GNE,444,,,3,,FFFFFF,000000
GNE:GONO449:449,GNE,449,,,3,,FFFFFF,000000
GNE:GONO454:454,GNE,454,,,3,,FFFFFF,000000
GNE:GONO457:457,GNE,457,,,3,,FFFFFF,000000
GNE:GONO458:458,GNE,458,,,3,,FFFFFF,000000
GNE:GONO462:462,GNE,462,,,3,,FFFFFF,000000
GNE:GOAO500:500,GNE,500,,,3,,FFFFFF,000000
GNE:GOAO501:501,GNE,501,,,3,,FFFFFF,000000
GNE:GOAO502:502,GNE,502,,,3,,FFFFFF,000000
GNE:GONO653:653,GNE,653,,,3,,FFFFFF,000000
GNE:GONO655:655,GNE,655,,,3,,FFFFFF,000000
GNE:GONO673:673,GNE,673,,,3,,FFFFFF,000000
GNE:GONO675:675,GNE,675,,,3,,FFFFFF,000000
GNE:GONO676:676,GNE,676,,,3,,FFFFFF,000000
GNE:GONO677:677,GNE,677,,,3,,FFFFFF,000000
GNE:GOAO680:680,GNE,680,,,3,,FFFFFF,000000
GNE:GONO680:680N,GNE,680N,,,3,,FFFFFF,000000
GNE:GOAO681:681,GNE,681,,,3,,FFFFFF,000000
GNE:GOAO682:682,GNE,682,,,3,,FFFFFF,000000
GNE:GOAO683:683,GNE,683,,,3,,FFFFFF,000000
GNE:GOAO684:684,GNE,684,,,3,,FFFFFF,000000
GNE:GOAO686:686,GNE,686,,,3,,FFFFFF,000000
GNE:GOAO687:687,GNE,687,,,3,,FFFFFF,000000
GNE:GOAO688:688,GNE,688,,,3,,FFFFFF,000000
GNE:GOAO689:689,GNE,689,,,3,,FFFFFF,000000
GNE:GOAO700:700,GNE,700,,,3,,FFFFFF,000000
GNE:GODO700:700D,GNE,700D,,,3,,FFFFFF,000000
GNE:GOAO701:701,GNE,701,,,3,,FFFFFF,000000
GNE:GODO701:701D,GNE,701D,,,3,,FFFFFF,000000
GNE:GODO702:702,GNE,702,,,3,,FFFFFF,000000
GNE:GODO703:703,GNE,703,,,3,,FFFFFF,000000
GNE:GONO792:792,GNE,792,,,3,,FFFFFF,000000
GNE:GONO794:794,GNE,794,,,3,,FFFFFF,000000
GNE:GODO807:807,GNE,807,,,3,,FFFFFF,000000
GNE:GODO808:808,GNE,808,,,3,,FFFFFF,000000
GNE:GOAO819:819,GNE,819,,,3,,FFFFFF,000000
GNE:GONO819:819N,GNE,819N,,,3,,FFFFFF,000000
GNE:GOAO820:820,GNE,820,,,3,,FFFFFF,000000
GNE:GOAO821:821,GNE,821,,,3,,FFFFFF,000000
GNE:GONO821:821N,GNE,821N,,,3,,FFFFFF,000000
GNE:GOAO823:823,GNE,823,,,3,,FFFFFF,000000
GNE:GOAO824:824,GNE,824,,,3,,FFFFFF,000000
GNE:GONO824:824N,GNE,824N,,,3,,FFFFFF,000000
GNE:GOAO825:825,GNE,825,,,3,,FFFFFF,000000
GNE:GOAO826:826,GNE,826,,,3,,FFFFFF,000000
GNE:GOAO827:827,GNE,827,,,3,,FFFFFF,000000
GNE:GOAO828:828,GNE,828,,,3,,FFFFFF,000000
GNE:GOAO829:829,GNE,829,,,3,,FFFFFF,000000
GNE:GONO830:830,GNE,830,,,3,,FFFFFF,000000
GNE:GOAO831:831,GNE,831,,,3,,FFFFFF,000000
GNE:GONO832:832,GNE,832,,,3,,FFFFFF,000000
GNE:GONO833:833,GNE,833,,,3,,FFFFFF,000000
GNE:GONO838:838,GNE,838,,,3,,FFFFFF,000000
GNE:GONO839:839,GNE,839,,,3,,FFFFFF,000000
GNE:GONO840:840,GNE,840,,,3,,FFFFFF,000000
GNE:GONO841:841,GNE,841,,,3,,FFFFFF,000000
GNE:GONO842:842,GNE,842,,,3,,FFFFFF,000000
GNE:GONO843:843,GNE,843,,,3,,FFFFFF,000000
GNE:GONO844:844,GNE,844,,,3,,FFFFFF,000000
GNE:GONO845:845,GNE,845,,,3,,FFFFFF,000000
GNE:GONO846:846,GNE,846,,,3,,FFFFFF,000000
GNE:GONO850:850,GNE,850,,,3,,FFFFFF,000000
GNE:GONO854:854,GNE,854,,,3,,FFFFFF,000000
GNE:GONO856:856,GNE,856,,,3,,FFFFFF,000000
GNE:GONO859:859,GNE,859,,,3,,FFFFFF,000000
GNE:GOAO861:861,GNE,861,,,3,,FFFFFF,000000
GNE:GONO861:861N,GNE,861N,,,3,,FFFFFF,000000
GNE:GONO863:863,GNE,863,,,3,,FFFFFF,000000
GNE:GONO864:864,GNE,864,,,3,,FFFFFF,000000
GNE:GONO865:865,GNE,865,,,3,,FFFFFF,000000
GNE:GONO866:866,GNE,866,,,3,,FFFFFF,000000
GNE:GOAO871:871,GNE,871,,,3,,FFFFFF,000000
GNE:GONO873:873,GNE,873,,,3,,FFFFFF,000000
GNE:GONO874:874,GNE,874,,,3,,FFFFFF,000000
GNE:GODO875:875,GNE,875,,,3,,FFFFFF,000000
GNE:GONO875:875N,GNE,875N,,,3,,FFFFFF,000000
GNE:GODO876:876,GNE,876,,,3,,FFFFFF,000000
GNE:GONO876:876N,GNE,876N,,,3,,FFFFFF,000000
GNE:GODO877:877,GNE,877,,,3,,FFFFFF,000000
GNE:GONO878:878,GNE,878,,,3,,FFFFFF,000000
GNE:GONO880:880,GNE,880,,,3,,FFFFFF,000000
GNE:GONO881:881,GNE,881,,,3,,FFFFFF,000000
GNE:GONO882:882,GNE,882,,,3,,FFFFFF,000000
GNE:GONO884:884,GNE,884,,,3,,FFFFFF,000000
GNE:GOAO885:885,GNE,885,,,3,,FFFFFF,000000
GNE:GOAO886:886,GNE,886,,,3,,FFFFFF,000000
GNE:GOAO887:887,GNE,887,,,3,,FFFFFF,000000
GNE:GOAO888:888,GNE,888,,,3,,FFFFFF,000000
GNE:GONO889:889,GNE,889,,,3,,FFFFFF,000000
GNE:GONO891:891,GNE,891,,,3,,FFFFFF,000000
GNE:GONO892:892,GNE,892,,,3,,FFFFFF,000000
GNE:GONO893:893,GNE,893,,,3,,FFFFFF,000000
GNE:GONO896:896,GNE,896,,,3,,FFFFFF,000000
GNE:GONO898:898,GNE,898,,,3,,FFFFFF,000000
GNE:GONO899:899,GNE,899,,,3,,FFFFFF,000000
GNE:GOAO935:935,GNE,935,,,3,,FFFFFF,000000
GNE:GOAO937:937,GNE,937,,,3,,FFFFFF,000000
GNE:GONO939:939,GNE,939,,,3,,FFFFFF,000000
GNE:GOAAD122:AD12,GNE,AD12,,,3,,FFFFFF,000000
GNE:GOAH000:H,GNE,H,,,3,,FFFFFF,000000
GNE:GOAN021:N21,GNE,N21,,,3,,FFFFFF,000000
GNE:GOAQ003:Q3,GNE,Q3,,,3,,FFFFFF,000000
GNE:GOAQ003X:Q3X,GNE,Q3X,,,3,,FFFFFF,000000
GNE:GOAR002:R2,GNE,R2,,,3,,FFFFFF,000000
GNE:GOAS002:S2,GNE,S2,,,3,,FFFFFF,000000
GNE:GOATOON:TOON,GNE,TOON,,,3,,FFFFFF,000000
GNE:GOAV001:V1,GNE,V1,,,3,,FFFFFF,000000
GNE:GOAV002:V2,GNE,V2,,,3,,FFFFFF,000000
GNE:GOAV005:V5,GNE,V5,,,3,,FFFFFF,000000
GNE:GOAX001:X1,GNE,X1,,,3,,FFFFFF,000000
GNE:GOAX001A:X1A,GNE,X1A,,,3,,FFFFFF,000000
GNE:GOAX005:X5,GNE,X5,,,3,,FFFFFF,000000
GNE:GOAX006:X6,GNE,X6,,,3,,FFFFFF,000000
GNE:GOAX010:X10,GNE,X10,,,3,,FFFFFF,000000
GNE:GOAX015:X15,GNE,X15,,,3,,FFFFFF,000000
GNE:GOAX020:X20,GNE,X20,,,3,,FFFFFF,000000
GNE:GOAX021:X21,GNE,X21,,,3,,FFFFFF,000000
GNE:GOAX030:X30,GNE,X30,,,3,,FFFFFF,000000
GNE:GOAX031:X31,GNE,X31,,,3,,FFFFFF,000000
GNE:GOAX032:X32,GNE,X32,,,3,,FFFFFF,000000
GNE:GOAX039:X39,GNE,X39,,,3,,FFFFFF,000000
GNE:GOAX045:X45,GNE,X45,,,3,,FFFFFF,000000
GNE:GOAX050:X50,GNE,X50,,,3,,FFFFFF,000000
GNE:GOAX058:X58,GNE,X58,,,3,,FFFFFF,000000
GNE:GOAX062:X62,GNE,X62,,,3,,FFFFFF,000000
GNE:GOAX066:X66,GNE,X66,,,3,,FFFFFF,000000
GNE:GOAX070:X70,GNE,X70,,,3,,FFFFFF,000000
GNE:GOAX071:X71,GNE,X71,,,3,,FFFFFF,000000
GNE:GOAX071A:X71A,GNE,X71A,,,3,,FFFFFF,000000
GNE:GOAX072:X72,GNE,X72,,,3,,FFFFFF,000000
GNE:GOAX073:X73,GNE,X73,,,3,,FFFFFF,000000
GNE:GOAX075:X75,GNE,X75,,,3,,FFFFFF,000000
GNE:GOAX085:X85,GNE,X85,,,3,,FFFFFF,000000
